# Sample Airways Database
# CSV Format
# IDENT,TYPE,START_IDENT,END_IDENT,MIN_ALT,MAX_ALT

# New York to Boston Area Airways (LOW altitude airways)
L24,LOW,JFK,BOS,2000,18000
L24,LOW,BOS,SYR,2000,18000
L24,LOW,SYR,RDU,2000,18000

# New York to Atlanta Airways (MID altitude airways)
L548,LOW,JFK,RDU,3000,18000
L548,LOW,RDU,ATL,3000,18000

# Chicago Area Airways (HIGH altitude airways)
J500,HIGH,ORD,LAS,24000,45000
J500,HIGH,LAS,LAX,24000,45000

# California Airways (LOW altitude)
L27,LOW,LAX,SFO,2000,18000
L27,LOW,SFO,SMF,2000,18000

# East Coast Airways (HIGH altitude)
J100,HIGH,BOS,JFK,24000,45000
J100,HIGH,JFK,ATL,24000,45000
J100,HIGH,ATL,MIA,24000,45000

# West Coast Airways (LOW altitude)
L25,LOW,SFO,OAK,2000,18000
L25,LOW,OAK,LAS,2000,18000

# Central US Airways (HIGH altitude)
J140,HIGH,DEN,ORD,24000,45000
J140,HIGH,ORD,LGA,24000,45000

# Northern Route Airways
L95,LOW,SEA,PDX,2000,18000
L95,LOW,PDX,SMF,2000,18000

# Southern Route Airways
J80,HIGH,LAX,PHX,24000,45000
J80,HIGH,PHX,DFW,24000,45000

# International Airways (Sample)
L975,LOW,EGLL,LFPG,2000,18000
L975,LOW,LFPG,EDDF,2000,18000
