# Sample Navigation Database - Navaids
# CSV Format
# TYPE,IDENT,REGION,AIRPORT,LAT,LON,MAG_VAR,FREQ,RANGE

# New York Area Navaids
VOR,JFK,NY,KJFK,40.628056,-73.772222,12.8,110.9,150
VOR,LGA,NY,KLGA,40.777222,-73.872222,12.8,113.1,150
VOR,EWR,NJ,KEWR,40.685000,-74.175000,12.8,115.9,150
VOR,TEB,NJ,KTEB,40.861944,-74.060833,12.8,114.1,150
NDB,EWR,NJ,KEWR,40.688889,-74.166389,12.8,397,25
NDB,NYK,NY,KJFK,40.645833,-73.780556,12.8,383,25
FIX,OZZZI,NY,KJFK,40.673056,-73.690556,12.8,0,0
FIX,GREKI,NY,KJFK,40.670278,-73.668056,12.8,0,0

# Los Angeles Area Navaids
VOR,LAX,CA,KLAX,33.928889,-118.408056,14.8,113.6,150
VOR,SLI,CA,KLAX,33.971389,-118.354722,14.8,112.1,150
VOR,LAS,NV,KLAS,36.215000,-115.433333,14.8,115.1,150
NDB,LAX,CA,KLAX,33.942500,-118.401389,14.8,355,25
FIX,IPAGI,CA,KLAX,34.066944,-118.265556,14.8,0,0

# Chicago Area Navaids
VOR,ORD,IL,KORD,41.974722,-87.907500,0.5,112.2,150
VOR,MDW,IL,KMDW,41.785556,-87.752222,0.5,109.7,150
VOR,DPA,IL,KDPA,41.880000,-88.245000,0.5,113.8,150
NDB,ORD,IL,KORD,41.975000,-87.906389,0.5,385,25
FIX,STADA,IL,KORD,41.840278,-87.756389,0.5,0,0

# San Francisco Area Navaids
VOR,SFO,CA,KSFO,37.620556,-122.361944,14.4,115.8,150
VOR,OAK,CA,KOAK,37.721111,-122.220556,14.4,116.8,150
VOR,SJC,CA,KJCS,37.358889,-121.927222,14.4,109.9,150
NDB,SFO,CA,KSFO,37.617222,-122.375000,14.4,411,25
FIX,DYNAM,CA,KSFO,37.583056,-122.415556,14.4,0,0

# Boston Area Navaids
VOR,BOS,MA,KBOS,42.364722,-71.012500,15.0,112.7,150
VOR,LWM,MA,KLWM,42.160000,-71.116667,15.0,108.2,150
NDB,BOS,MA,KBOS,42.365556,-71.008889,15.0,345,25
FIX,ASTON,MA,KBOS,42.383333,-71.061111,15.0,0,0

# Denver Area Navaids
VOR,DEN,CO,KDEN,39.773056,-104.866389,10.5,114.1,150
VOR,BJC,CO,KJYO,39.914722,-104.975833,10.5,113.2,150
NDB,DEN,CO,KDEN,39.755556,-104.876389,10.5,327,25
FIX,KRYSM,CO,KDEN,39.861111,-105.116667,10.5,0,0

# International - London Heathrow EGLL
VOR,LLL,UK,EGLL,51.503889,-0.298889,5.0,113.1,150
NDB,LLH,UK,EGLL,51.488333,-0.291667,5.0,207,25
FIX,LAMSH,UK,EGLL,51.580000,-0.400000,5.0,0,0

# International - Paris CDG LFPG
VOR,CDG,FR,LFPG,49.054722,2.533611,2.0,115.3,150
NDB,CDP,FR,LFPG,49.033333,2.516667,2.0,207,25
FIX,OKIBA,FR,LFPG,49.130000,2.550000,2.0,0,0

# International - Tokyo Narita RJTT
VOR,NRT,JP,RJTT,35.758056,140.386111,-5.0,114.2,150
NDB,NRT,JP,RJTT,35.761389,140.391111,-5.0,308,25
FIX,INAGI,JP,RJTT,35.693056,139.856667,-5.0,0,0

# International - Frankfurt EDDF
VOR,FFF,DE,EDDF,50.053889,8.570556,4.0,116.1,150
NDB,FDF,DE,EDDF,50.025000,8.548333,4.0,206,25
FIX,EMOSA,DE,EDDF,50.130000,8.650000,4.0,0,0
