# Sample Runway Database - Runway Information for Major Airports
# CSV Format
# ICAO,RwyID,Lat,Lon,Hdg,Length,Width,Surface,ILS,LocFreq,GSFreq,Course,DH,Category,RVR,TODA,TORA,LDA,ASDA

# New York JFK
KJFK,04L,40.636389,-73.778056,040,10995,150,ASPH,1,110.9,332.6,040,200,I,1800,11351,11351,10000,11351
KJFK,04R,40.639167,-73.761111,040,10000,150,ASPH,1,108.35,330.0,040,200,I,1800,10500,10500,9500,10500
KJFK,13L,40.639444,-73.765278,130,8900,150,ASPH,1,109.5,331.5,130,200,I,1800,9351,9351,8500,9351
KJFK,13R,40.641667,-73.758056,130,11351,150,ASPH,0,0,0,0,0,N,0,11351,11351,10500,11351
KJFK,22L,40.639722,-73.738611,220,11351,150,ASPH,0,0,0,0,0,N,0,11351,11351,10500,11351
KJFK,22R,40.641111,-73.746389,220,10000,150,ASPH,1,110.1,332.1,220,200,I,1800,10500,10500,9500,10500
KJFK,31L,40.651389,-73.736389,310,9349,150,ASPH,0,0,0,0,0,N,0,9351,9351,8500,9351
KJFK,31R,40.652778,-73.728889,310,8000,150,ASPH,0,0,0,0,0,N,0,8000,8000,7500,8000

# Los Angeles LAX
KLAX,24L,33.942306,-118.408075,240,12923,200,ASPH,1,110.35,331.8,240,200,I,1800,13450,13450,12600,13450
KLAX,24R,33.939197,-118.411956,240,12923,200,ASPH,1,109.9,331.2,240,200,I,1800,13450,13450,12600,13450
KLAX,25L,33.929528,-118.411975,250,9900,200,ASPH,0,0,0,0,0,N,0,9900,9900,9200,9900
KLAX,25R,33.920994,-118.428678,250,10860,200,ASPH,0,0,0,0,0,N,0,10860,10860,9850,10860
KLAX,06L,33.950136,-118.391092,060,12942,200,ASPH,1,110.7,332.4,060,200,I,1800,13476,13476,12500,13476
KLAX,06R,33.959194,-118.368244,060,11096,200,ASPH,1,109.5,331.5,060,200,I,1800,11627,11627,10500,11627

# Chicago ORD
KORD,09L,41.974167,-87.903611,090,10000,150,ASPH,1,111.55,333.6,090,200,I,1800,10500,10500,9500,10500
KORD,09R,41.974722,-87.907500,090,10500,150,ASPH,1,110.15,332.0,090,200,I,1800,11000,11000,10000,11000
KORD,27L,41.975556,-87.906944,270,10000,150,ASPH,1,109.9,331.9,270,200,I,1800,10500,10500,9500,10500
KORD,27R,41.976111,-87.902500,270,10500,150,ASPH,1,111.2,333.2,270,200,I,1800,11000,11000,10000,11000
KORD,10L,41.974722,-87.903889,100,8000,150,ASPH,0,0,0,0,0,N,0,8000,8000,7500,8000
KORD,10R,41.975278,-87.908056,100,8000,150,ASPH,0,0,0,0,0,N,0,8000,8000,7500,8000

# Atlanta ATL
KATL,09L,33.636944,-84.427778,090,12000,150,ASPH,1,110.55,332.6,090,200,I,1800,12600,12600,11200,12600
KATL,09R,33.634722,-84.442222,090,12000,150,ASPH,1,109.15,330.9,090,200,I,1800,12600,12600,11200,12600
KATL,27L,33.632500,-84.442222,270,12000,150,ASPH,1,110.9,332.9,270,200,I,1800,12600,12600,11200,12600
KATL,27R,33.634722,-84.427500,270,12000,150,ASPH,1,109.5,331.5,270,200,I,1800,12600,12600,11200,12600
KATL,08R,33.640278,-84.431111,080,9000,150,ASPH,0,0,0,0,0,N,0,9000,9000,8500,9000
KATL,26L,33.640000,-84.441389,260,9000,150,ASPH,0,0,0,0,0,N,0,9000,9000,8500,9000

# San Francisco SFO
KSFO,28L,37.618889,-122.375000,280,11065,200,ASPH,1,110.75,332.8,280,200,I,1800,11627,11627,10500,11627
KSFO,28R,37.620556,-122.361944,280,11381,200,ASPH,1,109.5,331.5,280,200,I,1800,11950,11950,10850,11950
KSFO,10L,37.624167,-122.360278,100,10000,200,ASPH,1,111.1,333.2,100,200,I,1800,10500,10500,9500,10500
KSFO,10R,37.620278,-122.375278,100,9348,200,ASPH,0,0,0,0,0,N,0,9348,9348,8500,9348

# International - London Heathrow EGLL
EGLL,09L,51.487222,-0.192222,090,12802,152,ASPH,1,110.55,331.8,090,200,I,1800,13450,13450,12600,13450
EGLL,09R,51.478889,-0.190278,090,12800,152,ASPH,1,109.15,330.9,090,200,I,1800,13450,13450,12600,13450
EGLL,27L,51.483611,-0.186389,270,12800,152,ASPH,1,110.9,332.9,270,200,I,1800,13450,13450,12600,13450
EGLL,27R,51.492222,-0.188889,270,12802,152,ASPH,1,109.5,331.5,270,200,I,1800,13450,13450,12600,13450

# Paris Charles de Gaulle LFPG
LFPG,26L,49.009722,2.547778,260,14107,60,ASPH,1,110.15,332.0,260,200,I,1800,14760,14760,13800,14760
LFPG,26R,49.007500,2.557222,260,13582,60,ASPH,1,109.75,331.8,260,200,I,1800,14230,14230,13300,14230
LFPG,08L,49.020556,2.540000,080,4406,60,ASPH,0,0,0,0,0,N,0,4406,4406,4000,4406
LFPG,08R,49.019722,2.530278,080,4411,60,ASPH,0,0,0,0,0,N,0,4411,4411,4050,4411

# Munich Franz Josef Strauss EDDM
EDDM,26L,48.353889,11.786389,260,13123,60,ASPH,1,110.35,331.8,260,200,I,1800,13778,13778,12850,13778
EDDM,26R,48.356389,11.815833,260,13123,60,ASPH,1,109.95,331.9,260,200,I,1800,13778,13778,12850,13778
EDDM,08L,48.370000,11.820833,080,11600,60,ASPH,0,0,0,0,0,N,0,11600,11600,10800,11600
EDDM,08R,48.366389,11.791389,080,11600,60,ASPH,0,0,0,0,0,N,0,11600,11600,10800,11600
